City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alofi,NU,-19.0595,-169.9187,81.36,75,10,6.96,light rain
1,Caravelas,BR,-17.7125,-39.2481,77.32,82,15,5.28,few clouds
2,Ushuaia,AR,-54.8,-68.3,47.86,66,20,3.44,few clouds
3,Perevolotskiy,RU,51.8763,54.1938,45.68,92,100,15.12,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,62.91,70,0,14.0,clear sky
5,Mayumba,GA,-3.432,10.6554,76.01,87,59,7.23,broken clouds
6,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,88,100,5.75,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,60.8,80,10,20.56,clear sky
8,Busselton,AU,-33.65,115.3333,60.49,66,62,12.12,broken clouds
9,Bengkulu,ID,-3.8004,102.2655,76.44,85,100,3.31,overcast clouds
10,Graaff-Reinet,ZA,-32.2522,24.5308,52.92,94,100,3.33,overcast clouds
11,Varhaug,NO,58.6147,5.6457,38.75,79,37,27.22,scattered clouds
12,Hilo,US,19.7297,-155.09,78.24,80,100,11.5,overcast clouds
13,Barentu,ER,15.1139,37.5928,81.73,22,0,3.58,clear sky
14,Narsaq,GL,60.9167,-46.05,35.82,65,2,2.91,clear sky
15,Vila Velha,BR,-20.3297,-40.2925,82.35,84,0,12.66,clear sky
16,Tuktoyaktuk,CA,69.4541,-133.0374,2.77,90,100,19.46,overcast clouds
17,Albany,US,42.6001,-73.9662,50.95,68,86,6.64,overcast clouds
18,Zaozhuang,CN,34.8647,117.5542,59.18,72,0,5.19,clear sky
19,Ocos,GT,14.5094,-92.1933,87.98,66,84,10.74,broken clouds
20,Kahului,US,20.8947,-156.47,84.22,64,40,19.57,scattered clouds
21,Punta Arenas,CL,-53.15,-70.9167,48.31,76,40,8.05,scattered clouds
22,Conceicao Da Barra,BR,-18.5933,-39.7322,77.88,81,15,6.35,few clouds
23,Garissa,KE,-0.4536,39.6401,81.23,69,40,14.88,scattered clouds
24,Svetlogorsk,BY,52.6333,29.7333,38.98,91,100,7.0,overcast clouds
25,Kalmunai,LK,7.4167,81.8167,77.58,86,97,6.51,overcast clouds
26,Hasaki,JP,35.7333,140.8333,55.8,78,0,6.93,clear sky
27,Kushmurun,KZ,52.4503,64.6311,40.23,74,100,13.04,overcast clouds
28,Leningradskiy,RU,69.3833,178.4167,-9.85,85,27,4.03,scattered clouds
29,Vaini,TO,-21.2,-175.2,80.76,89,40,8.05,light intensity drizzle
30,Canon City,US,38.441,-105.2424,78.96,8,0,10.36,clear sky
31,Manama,BH,26.2154,50.5832,82.35,51,0,5.75,clear sky
32,Ancud,CL,-41.8697,-73.8203,48.22,82,100,8.86,light rain
33,Kargasok,RU,59.0556,80.8572,4.42,96,63,6.2,broken clouds
34,Areka,ET,7.0667,37.7,62.65,83,100,0.22,light rain
35,Biak,ID,-0.9131,122.8766,76.62,80,100,3.27,overcast clouds
36,Port Hardy,CA,50.6996,-127.4199,39.06,85,100,7.11,light rain
37,Khash,IR,28.2211,61.2158,69.53,13,59,4.25,broken clouds
38,Virginia Beach,US,36.8529,-75.978,57.25,42,100,13.8,overcast clouds
39,Tiksi,RU,71.6872,128.8694,-12.5,100,90,5.21,overcast clouds
40,Aklavik,CA,68.2191,-135.0107,8.96,79,100,13.33,overcast clouds
41,Shillong,IN,25.5689,91.8831,57.13,84,23,3.29,few clouds
42,Kodiak,US,57.79,-152.4072,38.71,33,0,11.5,clear sky
43,Kapaa,US,22.0752,-159.319,80.58,76,40,10.36,scattered clouds
44,Bredasdorp,ZA,-34.5322,20.0403,62.58,84,44,17.65,scattered clouds
45,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,75,8.05,broken clouds
46,Barrow,US,71.2906,-156.7887,-9.38,64,0,12.66,clear sky
47,Lyuban,BY,52.7985,28.0048,37.47,93,100,8.41,overcast clouds
48,Ramnagar,IN,29.4,79.1167,74.64,18,0,5.17,clear sky
49,Dikson,RU,73.5069,80.5464,6.12,98,99,3.4,overcast clouds
50,Mahebourg,MU,-20.4081,57.7,75.25,80,10,13.06,clear sky
51,Bluff,NZ,-46.6,168.3333,57.49,74,45,22.59,scattered clouds
52,Tilichiki,RU,60.4667,166.1,21.11,80,63,3.02,broken clouds
53,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,43,11.05,light rain
54,Rikitea,PF,-23.1203,-134.9692,79.23,72,11,18.19,few clouds
55,Necochea,AR,-38.5473,-58.7368,65.8,73,9,12.97,clear sky
56,Poum,NC,-20.2333,164.0167,79.75,79,56,14.32,broken clouds
57,Cabo San Lucas,MX,22.8909,-109.9124,85.6,58,0,17.27,clear sky
58,Pyaozerskiy,RU,65.8333,31.1667,27.9,89,58,8.68,broken clouds
59,New Norfolk,AU,-42.7826,147.0587,63.91,71,88,2.55,overcast clouds
60,Khatanga,RU,71.9667,102.5,-6.65,100,92,3.27,overcast clouds
61,Bathsheba,BB,13.2167,-59.5167,78.96,73,91,19.75,overcast clouds
62,Kaitangata,NZ,-46.2817,169.8464,56.5,67,27,10.45,scattered clouds
63,Samana,DO,19.2056,-69.3369,80.56,72,63,8.97,broken clouds
64,Jamestown,US,42.097,-79.2353,37.53,43,100,12.66,overcast clouds
65,Lompoc,US,34.6391,-120.4579,81.12,61,0,20.71,clear sky
66,Sulangan,PH,11.1373,123.7228,78.57,82,100,20.71,heavy intensity rain
67,Russell,US,32.3502,-85.1999,62.2,33,0,12.66,clear sky
68,Havelock,US,34.8791,-76.9013,58.95,40,100,17.27,overcast clouds
69,Lata,PT,40.1629,-8.3327,58.82,96,62,2.37,broken clouds
70,Bam,IR,29.106,58.357,77.74,11,93,8.93,overcast clouds
71,Mitsamiouli,KM,-11.3847,43.2844,82.62,75,79,4.94,broken clouds
72,Mataura,NZ,-46.1927,168.8643,53.53,67,41,3.58,scattered clouds
73,Atuona,PF,-9.8,-139.0333,79.25,80,15,21.92,light rain
74,Mount Gambier,AU,-37.8333,140.7667,62.28,63,83,9.28,broken clouds
75,Yellowknife,CA,62.456,-114.3525,29.41,67,90,23.0,overcast clouds
76,Halkirk,CA,52.2834,-112.1518,45.32,31,13,23.73,few clouds
77,Caraquet,CA,47.7941,-64.9386,36.32,97,68,3.2,broken clouds
78,Bambous Virieux,MU,-20.3428,57.7575,75.22,80,13,13.24,few clouds
79,Lake Cowichan,CA,48.825,-124.0546,44.46,56,89,11.72,overcast clouds
80,Whitehorse,CA,60.7161,-135.0538,31.1,85,100,11.5,light snow
81,Norman Wells,CA,65.282,-126.8329,15.84,57,75,19.57,broken clouds
82,Ponta Do Sol,PT,32.6667,-17.1,61.0,73,6,4.72,clear sky
83,Newport Beach,US,33.6189,-117.9289,88.16,59,20,13.8,few clouds
84,Hithadhoo,MV,-0.6,73.0833,82.8,74,53,10.11,broken clouds
85,Bubaque,GW,11.2833,-15.8333,76.46,74,22,18.88,few clouds
86,Yumen,CN,40.2833,97.2,48.81,36,21,3.85,few clouds
87,Zhenlai,CN,45.8495,123.2973,52.14,52,76,14.32,broken clouds
88,Gushikawa,JP,26.3544,127.8686,71.6,91,40,8.05,scattered clouds
89,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,86.63,48,64,4.03,broken clouds
90,Hamilton,US,39.1834,-84.5333,42.82,65,100,14.97,overcast clouds
91,Kaliningrad,RU,54.7065,20.511,37.45,68,6,16.82,clear sky
92,Portland,US,45.5234,-122.6762,56.41,53,75,13.8,broken clouds
93,Tezu,IN,27.9167,96.1667,66.09,78,13,3.8,few clouds
94,Laguna,US,38.421,-121.4238,79.18,13,0,20.71,clear sky
95,Mar Del Plata,AR,-38.0023,-57.5575,66.09,95,100,18.01,overcast clouds
96,Lagoa,PT,39.05,-27.9833,55.26,73,35,38.32,scattered clouds
97,Green River,US,41.5286,-109.4662,56.98,26,92,17.0,overcast clouds
98,Salalah,OM,17.0151,54.0924,80.69,78,0,1.14,clear sky
99,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,few clouds
100,Valparaiso,CL,-33.0393,-71.6273,65.84,65,0,9.22,clear sky
101,Severnyy,RU,50.677,36.5532,55.44,62,0,13.42,clear sky
102,Rio Grande,BR,-32.035,-52.0986,70.95,86,4,10.87,clear sky
103,Khani,GE,41.9563,42.9566,42.37,81,19,8.57,few clouds
104,Castro,BR,-24.7911,-50.0119,70.41,73,91,3.2,overcast clouds
105,Faanui,PF,-16.4833,-151.75,82.51,74,91,19.33,overcast clouds
106,Semirom,IR,31.4167,51.5667,49.84,40,0,7.99,clear sky
107,Port Alfred,ZA,-33.5906,26.891,62.19,94,100,4.0,overcast clouds
108,Iqaluit,CA,63.7506,-68.5145,22.69,85,100,17.0,overcast clouds
109,Mannarakkat,IN,10.9833,76.4667,74.95,95,100,2.28,overcast clouds
110,Ewa Beach,US,21.3156,-158.0072,84.15,50,75,16.11,broken clouds
111,Cooma,AU,-36.2333,149.1333,55.17,100,100,11.5,overcast clouds
112,Pevek,RU,69.7008,170.3133,-15.0,93,37,2.19,scattered clouds
113,Marivan,IR,35.5219,46.176,48.63,69,72,2.24,broken clouds
114,Nunkini,MX,20.3333,-90.1833,91.58,14,36,10.04,scattered clouds
115,Masoko,TZ,-9.3333,33.75,66.63,96,78,2.48,broken clouds
116,Sitka,US,57.0531,-135.33,42.69,65,40,10.36,scattered clouds
117,Marzuq,YE,14.4,46.4667,67.23,38,0,4.65,clear sky
118,Provideniya,RU,64.3833,-173.3,33.17,96,100,16.53,light snow
119,Elizabeth City,US,36.2946,-76.2511,57.22,47,100,12.66,overcast clouds
120,Cidreira,BR,-30.1811,-50.2056,69.67,90,81,6.85,broken clouds
121,Akureyri,IS,65.6835,-18.0878,20.1,84,93,5.68,overcast clouds
122,Boca Do Acre,BR,-8.7522,-67.3978,78.12,90,91,2.24,light rain
123,Bonavista,CA,48.6499,-53.1147,33.48,94,100,25.08,light snow
124,Nikolskoye,RU,59.7035,30.7861,36.88,96,100,5.3,overcast clouds
125,Carnarvon,AU,-24.8667,113.6333,66.27,72,100,9.22,overcast clouds
126,Arraial Do Cabo,BR,-22.9661,-42.0278,77.11,89,82,11.12,broken clouds
127,Ribeira Grande,PT,38.5167,-28.7,56.61,68,35,37.49,scattered clouds
128,Nishihara,JP,26.1842,127.7558,71.65,94,100,8.05,overcast clouds
129,Taltal,CL,-25.4,-70.4833,64.94,73,24,5.99,few clouds
130,Port Lincoln,AU,-34.7333,135.8667,66.92,45,91,5.7,overcast clouds
131,Waw,SS,7.7029,27.9953,84.47,35,27,2.66,scattered clouds
132,Qaanaaq,GL,77.484,-69.3632,-0.51,75,94,3.83,overcast clouds
133,Flinders,AU,-34.5833,150.8552,65.17,94,13,5.99,few clouds
134,Asau,RO,46.4333,26.4,45.52,100,100,2.06,overcast clouds
135,Salinas,US,36.6777,-121.6555,81.0,53,0,14.97,clear sky
136,Floro,NO,61.5996,5.0328,38.97,81,100,32.21,overcast clouds
137,Lira,UG,2.235,32.9097,76.87,42,82,3.96,broken clouds
138,Dafeng,CN,23.4517,108.5881,67.42,64,37,3.36,scattered clouds
139,Iskateley,RU,67.6803,53.1512,34.84,100,100,15.73,overcast clouds
140,Aitape,PG,-3.1374,142.3475,78.89,87,98,4.72,overcast clouds
141,Barinas,VE,8.6226,-70.2075,92.77,32,92,3.89,overcast clouds
142,Kattivakkam,IN,13.2167,80.3167,85.06,85,57,3.51,broken clouds
143,Kruisfontein,ZA,-34.0033,24.7314,62.89,93,78,9.26,light rain
144,Cockburn Town,TC,21.4612,-71.1419,78.58,79,61,15.68,broken clouds
145,Angoche,MZ,-16.2325,39.9086,76.6,79,18,5.48,few clouds
146,Kozhevnikovo,RU,56.2589,83.9714,17.01,96,23,5.32,few clouds
147,Constitucion,CL,-35.3333,-72.4167,58.06,78,6,5.44,clear sky
148,Corn Island,NI,12.1694,-83.0418,80.51,77,76,21.3,broken clouds
149,Lerwick,GB,60.1545,-1.1494,37.4,60,98,18.32,overcast clouds
150,Lebu,CL,-37.6167,-73.65,54.48,83,89,0.2,overcast clouds
151,Maxixe,MZ,-23.8597,35.3472,75.07,65,100,14.23,overcast clouds
152,Chicama,PE,-7.8447,-79.1469,68.54,65,94,9.51,overcast clouds
153,Kenora,CA,49.8167,-94.4337,44.78,26,99,8.01,overcast clouds
154,Ilulissat,GL,69.2167,-51.1,14.02,67,75,4.61,broken clouds
155,Souillac,MU,-20.5167,57.5167,76.93,84,13,11.99,few clouds
156,Luderitz,NA,-26.6481,15.1594,63.63,68,0,6.51,clear sky
157,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,77,0,11.5,clear sky
158,Zhigansk,RU,66.7697,123.3711,2.98,95,31,12.33,scattered clouds
